day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
0,168.16232395417381,0.0,999.0,87.09747579238842,18.935151838215262,68.16232395417316,0.0,0.2,87.09747579238842,18.935151838215262,68.16232395417316,42,42,0.4508369485289348,0.020189641673700374,1512,1512,42,0.4508369485289348,8000.0,100.0,0.2,0.02,500,0.02710714285714285
1,239.4095004857676,9.931033660100136,24.107208643108518,159.789166310906,20.379665825138915,139.4095004857671,0.0,0.2,72.69169051851759,1.4445139869236527,71.24717653159394,3,3,0.4815046623078854,0.001,1485,1485,3,0.4815046623078854,8000.0,100.0,0.2,0.02,510,0.015495925642984465
2,330.291797019297,37.62476260963253,8.778574909459683,255.58335493017617,25.29155791087995,230.2917970192962,0.0,0.2,95.79418861927016,4.911892085741034,90.88229653352913,18,18,0.2728828936522799,0.021684617132390633,1625,1625,18,0.2728828936522799,8000.0,100.0,0.2,0.02,520,0.013721495553479362
3,394.5997289266053,130.5911011251438,3.0216433242910274,338.6976090041239,44.097880077519335,294.59972892660454,0.0,0.2,83.1142540739477,18.806322166639386,64.30793190730832,42,42,0.4477695753961755,0.001,1612,1612,42,0.4477695753961755,8000.0,100.0,0.2,0.02,530,0.01611469000393586
4,483.5598913473992,37.71497694614337,12.821428793073851,433.1547463649884,49.594855017590156,383.55989134739826,0.0,0.2,94.45713736086452,5.496974940070821,88.9601624207937,19,19,0.2893144705300424,0.02046496962323995,1580,1580,19,0.2893144705300424,8000.0,100.0,0.2,0.02,540,0.014838320653690711
5,561.6409989907655,114.66213414177793,4.898225584187237,526.3708725500449,64.72987355927849,461.6409989907664,0.0,0.2,93.21612618505645,15.135018541688332,78.08110764336811,38,38,0.39828996162337665,0.008716504184815663,1710,1710,38,0.39828996162337665,8000.0,100.0,0.2,0.02,550,0.01653828495911796
6,648.7293452373368,60.47464561941262,10.727294696690077,622.5896835687508,73.86033833141302,548.7293452373378,0.0,0.2,96.21881101870599,9.13046477213453,87.08834624657146,22,22,0.4150211260061145,0.017780658760348855,1618,1618,22,0.4150211260061145,8000.0,100.0,0.2,0.02,561,0.015718340050876557
7,720.8183532388646,141.91548028889417,5.079208778150987,713.2743546013304,92.4560013624651,620.8183532388653,0.0,0.2,90.68467103257956,18.595663031052084,72.08900800152747,46,46,0.40425354415330556,0.006695986876763697,1764,1764,46,0.40425354415330556,8000.0,100.0,0.2,0.02,572,0.01696439433088147
8,808.1266199736173,62.34149199455951,12.962901498156986,809.5546692987496,101.42804932513157,708.126619973618,0.0,0.2,96.28031469741916,8.972047962666466,87.30826673475269,22,22,0.4078203619393852,0.014555367754722414,1751,1751,22,0.4078203619393852,8000.0,100.0,0.2,0.02,583,0.016567848266997393
9,880.3152330114655,87.90612155890796,10.014265416334466,894.4317349661953,114.11650195472912,780.3152330114663,0.0,0.2,84.87706566744578,12.688452629597549,72.18861303784823,27,27,0.46994268998509425,0.001,1733,1733,27,0.46994268998509425,8000.0,100.0,0.2,0.02,594,0.01635477483460338
